Line,Strat Time,End Time
it shall be done.,"00:26:15,115 "," 00:26:16,533"
"Extra duty men,follow me.","00:26:17,075 "," 00:26:18,702"
It's ancient custom.,"00:26:19,119 "," 00:26:20,912"
Choose your words wisely.,"00:27:23,600 "," 00:27:25,602"
The fate of the Multiversemay depend on it.,"00:27:25,769 "," 00:27:28,063"
Got it.,"00:27:28,229 "," 00:27:29,272"
"No pressure, then.","00:27:30,523 "," 00:27:31,983"
All this for a child you met yesterday.,"00:27:45,163 "," 00:27:48,291"
"Wanda, you are justifiably angry.","00:27:48,458 "," 00:27:51,211"
You had to make terrible sacrifices.,"00:27:51,419 "," 00:27:53,380"
"I blew a hole through the headof the man I loved,","00:27:53,463 "," 00:27:56,174"
and it meant nothing.,"00:27:57,509 "," 00:28:00,303"
"Do not speak to me of sacrifice,Stephen Strange.","00:28:00,470 "," 00:28:04,432"
"If you give me what I want,","00:28:12,440 "," 00:28:15,485"
I'll send you to a world whereyou can be with Christine.,"00:28:15,652 "," 00:28:18,321"
The full might of KamarTajstands against you.,"00:28:20,657 "," 00:28:24,244"
"Defensive positions, now!","00:28:25,161 "," 00:28:28,164"
Do not dare to enter these sacred grounds.,"00:28:34,754 "," 00:28:37,090"
You have no ideajust how reasonable I have been.,"00:28:37,173 "," 00:28:40,677"
Yeah.,"00:28:40,760 "," 00:28:41,761"
"Book of the Damned,calling yourself a witch,","00:28:41,845 "," 00:28:43,572"
"conjuring creatures to abduct a kid,","00:28:43,596 "," 00:28:45,056"
I don't exactly call thatbeing reasonable.,"00:28:45,140 "," 00:28:47,475"
Sending those creaturesafter her instead of myself,"00:28:47,559 "," 00:28:50,103"
was mercy.,"00:28:50,186 "," 00:28:51,688"
"And in spite of your hypocrisies,and insults,","00:28:52,522 "," 00:28:56,568"
I have begged youto safely get out of my way.,"00:28:56,651 "," 00:29:00,739"
"You have exhausted my patience,","00:29:02,073 "," 00:29:04,200"
"but I do hope you understandthat even now,","00:29:05,827 "," 00:29:09,789"
"what's about to happen,","00:29:09,956 "," 00:29:11,458"
this is me,"00:29:12,834 "," 00:29:14,502"
being reasonable.,"00:29:14,669 "," 00:29:17,338"
Hold!,"00:29:27,265 "," 00:29:28,641"
Hold!,"00:29:30,101 "," 00:29:31,895"
Nailed it.,"00:29:46,367 "," 00:29:47,577"
Reinforce the shield.,"00:29:51,998 "," 00:29:53,249"
Reinforce the shield!,"00:29:53,416 "," 00:29:54,959"
Reinforce the shield!,"00:29:55,043 "," 00:29:56,419"
She's trying to get in their heads.,"00:30:16,606 "," 00:30:18,024"
"Sorcerers, fortify your mind!","00:30:18,483 "," 00:30:21,402"
Run.,"00:30:33,832 "," 00:30:35,500"
The shield is down!,"00:30:58,439 "," 00:31:00,233"
Fire!,"00:31:05,071 "," 00:31:06,197"
Yes!,"00:31:09,742 "," 00:31:10,743"
Take cover!,"00:31:22,088 "," 00:31:23,131"
Fire at will!,"00:31:26,301 "," 00:31:27,927"
Fall back.,"00:31:40,064 "," 00:31:41,107"
Wong!,"00:31:42,317 "," 00:31:43,318"
Get out of here!,"00:31:43,401 "," 00:31:44,611"
"Go, go.","00:31:50,491 "," 00:31:51,576"
Go!,"00:31:51,868 "," 00:31:52,911"
America...,"00:32:32,450 "," 00:32:34,535"
"You want the girl,you'll have to go through me.","00:32:42,210 "," 00:32:45,213"
Fine.,"00:32:45,964 "," 00:32:46,965"
We gotta get you out of here. Now.,"00:33:56,367 "," 00:33:58,202"
"Wong, what happened?","00:33:58,661 "," 00:33:59,871"
KamarTaj has fallen.,"00:34:00,038 "," 00:34:01,622"
Reflections.,"00:34:15,553 "," 00:34:17,096"
She's using the reflections.Cover them.,"00:34:17,263 "," 00:34:19,098"
You gave all those lives,"00:34:51,339 "," 00:34:53,049"
just to keep me from my children.,"00:34:53,132 "," 00:34:55,843"
You took those lives.,"00:34:56,010 "," 00:34:57,428"
You cannot be allowedto cross into the Multiverse.,"00:34:57,804 "," 00:35:00,473"
"I'm not a monster, Stephen.","00:35:00,973 "," 00:35:02,725"
I'm a mother.,"00:35:03,434 "," 00:35:04,477"
"Wanda, you have no children.","00:35:04,560 "," 00:35:06,437"
They don't exist.,"00:35:07,563 "," 00:35:08,689"
"Oh, but they do.","00:35:08,856 "," 00:35:10,566"
In every other universe.,"00:35:10,733 "," 00:35:12,860"
I know they do.,"00:35:13,778 "," 00:35:15,279"
Because I dream of them,"00:35:15,988 "," 00:35:17,782"
every night.,"00:35:18,658 "," 00:35:21,452"
We're gonna show it.,"00:35:27,834 "," 00:35:28,918"
"Mom, watch us. Mom!","00:35:29,085 "," 00:35:30,336"
Go long. Got it!,"00:35:30,419 "," 00:35:31,671"
"All right, go on back, go on back.","00:35:31,754 "," 00:35:33,172"
"All right, yeah. Don't...","00:35:33,256 "," 00:35:34,536"
Of my boys.,"00:35:35,216 "," 00:35:36,300"
"Billy, don't you dare! No!","00:35:36,384 "," 00:35:37,694"
Of our life together.,"00:35:37,718 "," 00:35:39,512"
 Here. Yes!,"00:35:39,595 "," 00:35:40,948"
And then back to front.,"00:35:40,972 "," 00:35:42,515"
Back to front.,"00:35:42,598 "," 00:35:43,933"
Can I have some?,"00:35:44,517 "," 00:35:45,601"
Please?,"00:35:45,685 "," 00:35:46,686"
 Are you guys ready? It's okay.,"00:35:48,104 "," 00:35:49,164"
"I love you, Mom.","00:35:49,188 "," 00:35:50,231"
Every night...,"00:35:50,314 "," 00:35:51,474"
the same dream.,"00:35:53,776 "," 00:35:55,236"
And every morning...,"00:35:56,654 "," 00:35:58,531"
the same nightmare.,"00:36:01,450 "," 00:36:04,620"
What if you reach them?,"00:36:07,540 "," 00:36:09,208"
What happens to the other you?,"00:36:10,835 "," 00:36:12,628"
What happens to their mother?,"00:36:14,088 "," 00:36:16,132"
You okay?,"00:38:03,322 "," 00:38:04,532"
You saved me.,"00:38:06,200 "," 00:38:07,493"
I hope so.,"00:38:08,202 "," 00:38:09,787"
Surprised you didn't puke.,"00:38:13,541 "," 00:38:14,581"
"It's not my first weird trip, kid.","00:38:15,084 "," 00:38:17,461"
"So, this is New Yorkin the Multi...","00:38:18,045 "," 00:38:20,673"
