Line,Strat Time,End Time
Stabbed me with a fork.,"00:29:54,840 "," 00:29:55,966"
Didn't like me skipping out on her at sunrise.,"00:29:56,040 "," 00:29:58,088"
"I got, right here, a Kree girl tried to rip out my thorax.","00:29:58,160 "," 00:30:00,686"
She caught me with this skinny little A'askavariian,"00:30:00,840 "," 00:30:02,888"
who worked in Nova Records.,"00:30:02,960 "," 00:30:04,007"
I was trying to get information.,"00:30:04,080 "," 00:30:05,730"
You ever see an A'askavariian?,"00:30:05,800 "," 00:30:07,529"
"They have tentacles, and needles for teeth.","00:30:07,600 "," 00:30:09,409"
"If you think I'm seriously interested in that, then...","00:30:09,560 "," 00:30:11,801"
You don't care. But here's the point.,"00:30:12,760 "," 00:30:15,366"
She betrayed Ronan.He's coming back for her.,"00:30:17,080 "," 00:30:19,924"
"And when he does,","00:30:20,560 "," 00:30:21,686"
that's when you...,"00:30:22,280 "," 00:30:24,123"
Why would I put my finger on his throat?,"00:30:25,120 "," 00:30:27,771"
What?,"00:30:28,200 "," 00:30:29,247"
"Oh, no, it's a symbol.","00:30:31,440 "," 00:30:32,521"
This is a symbol for you slicing his throat.,"00:30:32,640 "," 00:30:36,884"
I would not slice his throat.,"00:30:37,400 "," 00:30:39,368"
I would cut his head clean off.,"00:30:39,480 "," 00:30:42,165"
It's a general expression for you killing somebody.,"00:30:42,360 "," 00:30:44,408"
"You've heard of this.You've seen this, right?","00:30:44,560 "," 00:30:46,112"
 You know what that is. Yeah. Yeah.,"00:30:46,160 "," 00:30:47,436"
" Everyone knows. No, no.","00:30:47,720 "," 00:30:49,404"
"What I'm saying is, you want to keep her alive.","00:30:51,480 "," 00:30:54,484"
Don't do his work for him.,"00:30:55,200 "," 00:30:57,567"
I like your knife. I'm keeping it.,"00:31:10,960 "," 00:31:12,962"
 That was my favorite knife. Listen!,"00:31:14,080 "," 00:31:16,162"
I could care less whether you live or whether you die.,"00:31:16,320 "," 00:31:19,403"
 Then why stop the big guy? Simple.,"00:31:19,600 "," 00:31:22,285"
You know where to sell my Orb.,"00:31:22,840 "," 00:31:24,080"
How are we gonna sell it when we and it are still here?,"00:31:24,240 "," 00:31:26,481"
"My friend Rocket, here,","00:31:27,720 "," 00:31:28,801"
has escaped 22 prisons.,"00:31:29,360 "," 00:31:30,646"
"Oh, we're getting out.","00:31:31,320 "," 00:31:32,481"
And then we're headed straightto Yondu to retrieve your bounty.,"00:31:32,560 "," 00:31:35,484"
How much was your buyer willing to pay you for my Orb?,"00:31:35,640 "," 00:31:39,281"
4 billion units.,"00:31:40,640 "," 00:31:41,801"
 What? Holy shit.,"00:31:42,000 "," 00:31:43,525"
That Orb is my opportunity toget away from Thanos and Ronan.,"00:31:43,960 "," 00:31:47,487"
"If you free us,","00:31:48,280 "," 00:31:49,441"
I'll lead you to the buyer directly,"00:31:51,400 "," 00:31:52,845"
and I'll split the profit between the 3 of us.,"00:31:52,920 "," 00:31:54,649"
I am Groot.,"00:31:54,800 "," 00:31:56,484"
4 of us.,"00:31:56,960 "," 00:31:57,961"
"Asleep for the danger, awake for the money,","00:31:58,120 "," 00:32:00,122"
as per frickin' usual.,"00:32:00,200 "," 00:32:01,201"
"You have been betrayed, Ronan.","00:32:03,040 "," 00:32:05,646"
We know only that she has been captured.,"00:32:06,160 "," 00:32:07,844"
Gamora may yet recover the Orb.,"00:32:08,840 "," 00:32:10,922"
