Line,Strat Time,End Time
On it!,"00:23:56,269 "," 00:23:57,813"
Not cool.,"00:24:05,237 "," 00:24:06,613"
Gotcha!,"00:24:10,867 "," 00:24:11,868"
Wait!,"00:24:13,370 "," 00:24:14,621"
"Uh, Mr. Stark,I'm being beamed up.","00:24:22,045 "," 00:24:24,673"
"Hang on, kid.","00:24:24,756 "," 00:24:26,174"
Oh!,"00:24:41,857 "," 00:24:43,233"
Ugh.,"00:24:45,026 "," 00:24:46,027"
"Wong, you're invitedto my wedding.","00:24:46,111 "," 00:24:47,863"
"Give me a little juice,Friday.","00:24:55,412 "," 00:24:56,538"
Unlock 17:A.,"00:25:05,463 "," 00:25:06,882"
"Pete, you gotta let go.I'm gonna catch you.","00:25:19,895 "," 00:25:21,479"
But you saidsave the wizard!,"00:25:21,563 "," 00:25:23,732"
I can't breathe.,"00:25:24,149 "," 00:25:25,150"
We're too high up.You're running out of air.,"00:25:26,443 "," 00:25:28,111"
Yeah. That makes sense.,"00:25:29,070 "," 00:25:31,323"
"Mr. Stark, it smellslike a new car in here!","00:25:48,506 "," 00:25:50,508"
"Happy trails, kid.","00:25:50,675 "," 00:25:51,718"
" Friday, send him home. Yep.","00:25:51,801 "," 00:25:53,220"
"Oh, come on!","00:25:54,179 "," 00:25:55,639"
"Boss, incoming callfrom Miss Potts.","00:26:04,064 "," 00:26:06,066"
"Tony? Oh, my God.","00:26:06,233 "," 00:26:07,234"
Are you all right?What's going on?,"00:26:07,317 "," 00:26:08,318"
"Yeah, I'm fine.I just think","00:26:08,485 "," 00:26:09,778"
we might have to pushour 8:30 res.,"00:26:09,861 "," 00:26:11,154"
Why?,"00:26:11,238 "," 00:26:12,322"
Just 'causeI'll probably,"00:26:12,405 "," 00:26:13,907"
not make it back for a while.,"00:26:13,990 "," 00:26:15,408"
Tell meyou're not on that ship.,"00:26:16,493 "," 00:26:17,744"
Yeah.,"00:26:17,827 "," 00:26:18,828"
"God, no, please tell meyou're not on the ship.","00:26:18,912 "," 00:26:20,247"
"Honey, I'm sorry.","00:26:20,413 "," 00:26:21,998"
"I'm sorry,I don't know what to say.","00:26:22,165 "," 00:26:23,333"
"Come back here, Tony.I swear to God.","00:26:23,416 "," 00:26:24,668"
 Pep. Come back here right now.,"00:26:24,834 "," 00:26:26,920"
Come back.,"00:26:27,045 "," 00:26:28,046"
"Boss,we're losing her.","00:26:28,213 "," 00:26:30,131"
I'm going too.,"00:26:30,799 "," 00:26:32,342"
"Oh, my God!","00:26:41,434 "," 00:26:42,686"
I shoulda stayed on the bus.,"00:26:47,148 "," 00:26:49,109"
Where you going?,"00:27:03,456 "," 00:27:04,833"
The Time Stone's been taken.,"00:27:05,125 "," 00:27:06,501"
The Sanctum remains unguarded.,"00:27:06,668 "," 00:27:08,586"
What will you do?,"00:27:09,212 "," 00:27:10,672"
I'm gonna make a call.,"00:27:11,464 "," 00:27:13,133"
"Sing it, Drax!","00:27:53,423 "," 00:27:54,591"
Why are we doing this again?,"00:28:07,187 "," 00:28:08,563"
