Line,Strat Time,End Time
Whosoever be he worthyshall haveth the power.,"00:27:26,080 "," 00:27:29,289"
"Whatever, man! It's a trick.","00:27:29,400 "," 00:27:30,526"
"Please, be my guest.","00:27:31,920 "," 00:27:33,206"
 Come on. Really?,"00:27:34,720 "," 00:27:35,767"
Yeah.,"00:27:35,920 "," 00:27:37,046"
This is gonna be beautiful.,"00:27:37,560 "," 00:27:38,527"
"Clint, you've had a tough week.","00:27:38,600 "," 00:27:39,647"
We won't hold it against youif you can't get it up.,"00:27:39,800 "," 00:27:41,245"
"You know I've seen this before, right?","00:27:41,400 "," 00:27:43,164"
I still don't know how you do it!,"00:27:46,280 "," 00:27:49,090"
Smell the silent judgement?,"00:27:49,600 "," 00:27:50,680"
"Please, Stark, by all means.","00:27:50,760 "," 00:27:51,880"
Okay.,"00:27:53,800 "," 00:27:54,847"
Never one to shrinkfrom an honest challenge.,"00:27:56,440 "," 00:27:58,442"
 Get after it. It's physics.,"00:27:58,600 "," 00:28:00,090"
Physics.,"00:28:00,280 "," 00:28:01,281"
"Right, so, if I lift it, I then rule Asgard?","00:28:01,400 "," 00:28:03,767"
"Yes, of course.","00:28:03,920 "," 00:28:05,445"
I will be reinstituting prima nocta.,"00:28:05,600 "," 00:28:07,967"
I'll be right back.,"00:28:12,920 "," 00:28:14,206"
Are you even pulling?,"00:28:21,560 "," 00:28:22,607"
Are you on my team?,"00:28:22,760 "," 00:28:23,807"
