Speaker,Line
Sharon Carter,"His. Foxtrot is down, hes unresponsive. I need EMTs."
SHIELD Agent,Do you have a twenty on the shooter.
Steve Rogers,Tell him Im in pursuit.
Natasha Romanoff,Is he gonna make it.
Steve Rogers,I dont know.
Natasha Romanoff,Tell me about the shooter.
Steve Rogers,Hes fast and strong. Had a metal arm.
Natasha Romanoff,Ballistics.
Maria Hill,"Three slugs, no rifling. Completely untraceable."
Natasha Romanoff,Soviet-made.
Maria Hill,Yeah.
Male Nurse,Hes in V-tach.
Female Nurse,Crash cart coming in.
Doctor,"Nurse, help me with the drape."
Male Nurse,BP is dropping.
Doctor,Defibrillator. I want you to charge him at one hundred.
Natasha Romanoff,"Dont do this to me, Nick."
Doctor,"Stand back. Three, two, one. Clear. Pulse."
Male Nurse,No pulse.
Doctor #1,No pulse.
Doctor,"Okay. 200, please. Stand back. Three, two, one. Clear. Give me epinephrine. Pulse."
Male Nurse,Negative.
Natasha Romanoff,"Dont do this to me, Nick. Dont do this to me."
Doctor,Whats the time.
Female Nurse,"1:03, Doctor."
Doctor,"Time of death, 1:03 am"
Maria Hill,I need to take him.
Steve Rogers,Natasha. Natasha.
Natasha Romanoff,Why was Fury in your apartment.
Steve Rogers,I dont know.
Brock Rumlow,"Cap, they want you back at SHIELD."
Steve Rogers,"Yeah, give me a second."
Brock Rumlow,They want you now.
Steve Rogers,Okay.
Natasha Romanoff,Youre a terrible liar.
Jasper Sitwell,"STRIKE team, escort Captain Rogers back to SHIELD immediately for questioning."
Brock Rumlow,I told him.
Steve Rogers,Lets go.
Brock Rumlow,"Yeah. STRIKE, move it out."
Alexander Pierce,"For whatever its worth, you did your best."
Sharon Carter,"Thank you, sir. Captain Rogers."
Steve Rogers,Neighbor.
Alexander Pierce,"Ah, Captain. Im Alexander Pierce."
Steve Rogers,"Sir, its an honor."
Alexander Pierce,"The honor is mine, Captain. My father served in the 101st. Come on in. That photo was taken five years after Nick and I met. When I was at State Department in Bogota. ELN rebels took the embassy, and security got me out, but the rebels took hostages. Nick was deputy chief for the SHIELD station there. And he comes to me with a plan. He wants to storm the building through the sewers. I said, No, well negotiate. Turned out the ELN didnt negotiate, so they put out a kill order. They stormed the basement, and what did they find. They find it empty. Nick had ignored my direct order and carried out an unauthorized military operation on foreign soil. He saved the lives of a dozen political officers, including my daughter."
Steve Rogers,So you gave him a promotion.
Alexander Pierce,"Ive never had any cause to regret it. Captain, why was Nick in your apartment last night."
Steve Rogers,I dont know.
Alexander Pierce,You know it was bugged.
Steve Rogers,"I did, because Nick told me."
Alexander Pierce,Did he tell you he was the one who bugged it. I want you to see something.
SHIELD Agent,"Who hired you, Batroc."
Steve Rogers,Is that live.
Alexander Pierce,"Yeah, they picked him up last night in a not-so-safe house in Algiers."
Steve Rogers,Are you saying hes a suspect. Assassination isnt Batrocs line.
Alexander Pierce,"No, its more complicated than that. Batroc was hired anonymously to attack the Lemurian Star and he was contacted by e-mail and paid by wire transfer. And then the money was run through seventeen fictitious accounts, the last one going to a holding company that was registered to a Jacob Veech."
Steve Rogers,Am I supposed to know who that is.
Alexander Pierce,Not likely. Veech died six years ago. His last address was 14-35 Elmhurst Drive. When I first met Nick his mother lived at 14-37.
Steve Rogers,Are you saying Fury hired the pirates. Why.
Alexander Pierce,The prevailing theory was that the hijacking was a cover for the acquisition and sale of classified intelligence. The sale went sour and that led to Nicks death.
Steve Rogers,If you really knew Nick Fury youd know thats not true.
Alexander Pierce,"Why do you think were talking. See, I took a seat on the Council not because I wanted to but because Nick asked me to, because we were both realists. We knew that despite all the diplomacy and the handshaking and the rhetoric, that to build a really better world sometimes means having to tear the old one down. And that makes enemies. Those people that call you dirty because you got the guts to stick your hands in the mud and try to build something better. And the idea that those people could be happy today, makes me really, really angry. Captain, you were the last one to see Nick alive. I dont think thats an accident, and I dont think you do either. So Im gonna ask again, why was he there."
Steve Rogers,He told me not to trust anyone.
Alexander Pierce,I wonder if that included him.
Steve Rogers,Im sorry. Those were his last words. Excuse me.
Alexander Pierce,"Captain. Somebody murdered my friend and Im gonna find out why. Anyone gets in my way, theyre gonna regret it. Anyone."
Steve Rogers,Understood.
Steve Rogers,Operations control.
SHIELD Computer,Confirmed.
Brock Rumlow,Keep all STRIKE personnel on site.
STRIKE Agent #1,Understood.
STRIKE Agent #2,"Yes, sir."
Brock Rumlow,Forensics.
SHIELD Computer,Confirmed.
Brock Rumlow,Cap.
Steve Rogers,Rumlow.
Brock Rumlow,Evidence Response found some fibres on the roof they want us to see. You want me to get the tac-team ready.
Steve Rogers,"No, lets wait and see what it is first."
Brock Rumlow,Right.
SHIELD Agent #1,Whats the status so far.
SHIELD Agent #2,Administrations level.
SHIELD Computer,Confirmed.
SHIELD Agent #2,Excuse me.
Brock Rumlow,"Im sorry about what happened with Fury. Messed up, what happened to him."
Steve Rogers,Thank you.
STRIKE Agent #3,Records.
SHIELD Computer,Confirmed.
Steve Rogers,"Before we get started, does anyone want to get out."
Jasper Sitwell,"Mobilize STRIKE units, 25th floor."
Brock Rumlow,"Whoa, big guy. I just want you to know, Cap, this aint personal."
Steve Rogers,It kind of feels personal.
25th Floor STRIKE Agent,Drop the shield. Put your hands in the air.
STRIKE Agent,"Give it up, Rogers. Get that door open. You have nowhere to go."
Jasper Sitwell,Are you kidding me. Hes headed for the garage. Lock down the bridge.
Quinjet Pilot,"Stand down, Captain Rogers. Stand down. Repeat, stand down."
Jasper Sitwell,"Eyes here. Whatever your op is, bury it. This is Level One. Contact DOT. All traffic lights in the district go red. Shut all runways at BWI, IAD and Reagan. All security cameras in the city go through this monitor, right here. Scan all open sources. Phones, computers, PDAs, whatever. If someone tweets about this guy, I want to know about it."
Sharon Carter,"With all due respect, If SHIELD is conducting a manhunt for Captain America, we deserve to know why."
Alexander Pierce,"Because he lied to us. Captain Rogers has information regarding the death of Director Fury, he refused to share it. As difficult as this is to accept, Captain America is a fugitive from SHIELD."
Steve Rogers,Where is it.
Natasha Romanoff,Safe.
Steve Rogers,Do better.
Natasha Romanoff,Where did you get it.
Steve Rogers,Why would I tell you.
Natasha Romanoff,Fury gave it to you. Why.
Steve Rogers,Whats on it.
Natasha Romanoff,I dont know.
Steve Rogers,Stop lying.
Natasha Romanoff,"I only act like I know everything, Rogers."
Steve Rogers,"I bet you knew Fury hired the pirates, didnt you."
Natasha Romanoff,"Well, it makes sense. The ship was dirty, Fury needed a way in, so do you."
Steve Rogers,Im not gonna ask you again.
Natasha Romanoff,"I know who killed Fury. Most of the intelligence community doesnt believe he exists, the ones who do call him the Winter Soldier. Hes credited with over two dozen assassinations in the last fifty years."
Steve Rogers,So hes a ghost story.
