Line,Strat Time,End Time
Excuse me.,"00:24:13,093 "," 00:24:14,188"
"More trouble, Mr. Secretary?","00:24:14,213 "," 00:24:15,817"
Depends on your definition.,"00:24:16,013 "," 00:24:17,617"
I work 40 floors awayand it takes a hijacking for you to visit?,"00:24:26,373 "," 00:24:29,456"
"A nuclear war would do it, too.","00:24:29,653 "," 00:24:31,735"
You busy in there?,"00:24:32,893 "," 00:24:34,179"
Nothing some earmarks can't fix.,"00:24:34,373 "," 00:24:35,863"
I'm here to ask a favour.,"00:24:37,853 "," 00:24:41,175"
I want you to call for a vote.,"00:24:41,973 "," 00:24:43,816"
Project Insight has to be delayed.,"00:24:44,053 "," 00:24:46,135"
"Nick, that's not a favour,","00:24:46,533 "," 00:24:48,695"
that's a subcommittee hearing.A long one.,"00:24:48,933 "," 00:24:50,423"
It could be nothing.It probably is nothing.,"00:24:50,613 "," 00:24:52,333"
I just need timeto make sure it's nothing.,"00:24:52,453 "," 00:24:55,104"
But if it's something?,"00:24:55,293 "," 00:24:56,340"
Then we'll both be damn gladthose helicarriers aren't in the air.,"00:24:56,533 "," 00:24:59,343"
Fine.,"00:25:01,493 "," 00:25:02,415"
But you got to get Iron Manto stop by my niece's birthday party.,"00:25:03,173 "," 00:25:06,700"
"Thank you, sir.","00:25:07,173 "," 00:25:08,504"
And not just a flyby. He's got to mingle.,"00:25:08,693 "," 00:25:11,583"
"The thing is,","00:25:14,253 "," 00:25:15,414"
I think it's getting worse.,"00:25:16,013 "," 00:25:17,981"
A cop pulled me over last week.,"00:25:19,253 "," 00:25:21,540"
He thought I was drunk.,"00:25:21,733 "," 00:25:23,019"
I swerved to miss a plastic bag.,"00:25:24,173 "," 00:25:27,655"
I thought it was an IED.,"00:25:29,093 "," 00:25:30,902"
Some stuff you leave there.,"00:25:33,173 "," 00:25:35,062"
Other stuff you bring back.,"00:25:35,373 "," 00:25:37,421"
It's our job to figure out how to carry it.,"00:25:37,613 "," 00:25:40,503"
"Is it gonna be in a big suitcase,or in a little manpurse?","00:25:40,733 "," 00:25:44,897"
It's up to you.,"00:25:46,053 "," 00:25:47,100"
 I'll see you next week. Definitely.,"00:25:48,293 "," 00:25:49,813"
"Look who it is, the running man.","00:25:51,693 "," 00:25:53,980"
Caught the last few minutes.It's pretty intense.,"00:25:54,853 "," 00:25:57,299"
"Yeah, brother,we all got the same problems.","00:25:57,493 "," 00:26:00,463"
"Guilt,","00:26:01,173 "," 00:26:02,379"
regret.,"00:26:02,813 "," 00:26:04,053"
You lose someone?,"00:26:04,613 "," 00:26:06,183"
"My wingman, Riley.","00:26:06,813 "," 00:26:09,214"
Flying a night mission.,"00:26:10,213 "," 00:26:11,294"
Standard PJ rescue Op.,"00:26:11,453 "," 00:26:13,820"
"Nothing we hadn't done1,000 times before.","00:26:14,013 "," 00:26:16,061"
Until an RPG knocked Riley'sdumb ass out of the sky.,"00:26:16,253 "," 00:26:19,860"
Nothing I could do.,"00:26:21,973 "," 00:26:23,304"
It's like I was up there just to watch.,"00:26:23,893 "," 00:26:25,895"
" I'm sorry. After that,","00:26:27,013 "," 00:26:28,981"
"I had a really hard time finding a reasonfor being over there, you know?","00:26:29,133 "," 00:26:32,774"
"But you're happy now,back in the world?","00:26:34,733 "," 00:26:36,974"
The number of people giving meorders is down to about zero.,"00:26:37,813 "," 00:26:41,454"
"So, hell yeah.","00:26:41,653 "," 00:26:42,654"
Are you thinking about getting out?,"00:26:43,773 "," 00:26:45,173"
No.,"00:26:45,813 "," 00:26:46,814"
I don't know.,"00:26:48,853 "," 00:26:50,014"
"To be honest, I don't knowwhat I would do with myself if I did.","00:26:51,533 "," 00:26:54,104"
Ultimate fighting?,"00:26:54,613 "," 00:26:55,813"
Just a great idea off the top of my head.,"00:26:56,453 "," 00:26:58,854"
"Seriously, you could dowhatever you want to do.","00:26:59,013 "," 00:27:01,414"
What makes you happy?,"00:27:02,413 "," 00:27:03,460"
I don't know.,"00:27:05,373 "," 00:27:07,057"
Activatingcommunications encryption protocol.,"00:27:08,533 "," 00:27:11,298"
Open secure line 0405.,"00:27:11,533 "," 00:27:13,820"
Confirmed.,"00:27:14,293 "," 00:27:15,340"
This is Hill.,"00:27:16,693 "," 00:27:17,740"
I need you here in D.C.,"00:27:17,893 "," 00:27:19,736"
Deep shadow conditions.,"00:27:19,933 "," 00:27:22,664"
Give me 4 hours.,"00:27:23,333 "," 00:27:24,548"
You have 3. Over.,"00:27:24,573 "," 00:27:26,177"
Want to see my lease?,"00:27:42,413 "," 00:27:44,097"
Fracture detected.,"00:28:02,013 "," 00:28:03,253"
Recommend anaesthetic injection.,"00:28:06,413 "," 00:28:08,780"
D.C. Metro Police dispatchshows no units in this area.,"00:28:13,533 "," 00:28:16,855"
Get me out of here.,"00:28:22,133 "," 00:28:23,180"
Propulsion systems offline.,"00:28:25,933 "," 00:28:27,173"
"Then reboot, damn it!","00:28:27,293 "," 00:28:28,294"
Warning. Windowintegrity compromised.,"00:28:49,053 "," 00:28:50,703"
You think?,"00:28:50,813 "," 00:28:52,383"
