Line,Strat Time,End Time
Our only competition was 10 years old!,"00:25:33,824 "," 00:25:36,117"
Jane! You were gone for 5 hours.,"00:25:36,285 "," 00:25:37,827"
What?,"00:25:38,370 "," 00:25:39,621"
That's weird.,"00:25:46,462 "," 00:25:48,129"
Typical.,"00:26:09,693 "," 00:26:11,110"
Jane.,"00:26:11,862 "," 00:26:12,904"
Sorry. I just neededto make sure you were real.,"00:26:15,574 "," 00:26:18,326"
It's been a very strange day.,"00:26:18,494 "," 00:26:19,994"
"I am. Jane, what...","00:26:20,162 "," 00:26:21,663"
Where were you?,"00:26:22,081 "," 00:26:24,332"
Heimdall cannot see you.,"00:26:25,251 "," 00:26:26,584"
I was right here where you left me.,"00:26:26,752 "," 00:26:28,503"
"I was waiting, and then I was crying","00:26:28,754 "," 00:26:30,838"
and then I went out looking for you.,"00:26:30,965 "," 00:26:32,507"
You said you were coming back.,"00:26:32,675 "," 00:26:34,217"
"I know. I know,but the Bifrost was destroyed.","00:26:34,385 "," 00:26:36,719"
The Nine Realms erupted into chaos.,"00:26:36,887 "," 00:26:38,429"
"Wars were raging,marauders were pillaging.","00:26:38,555 "," 00:26:40,723"
I had to put an end to the slaughter.,"00:26:41,267 "," 00:26:42,892"
"As excuses go, it's not terrible.","00:26:44,478 "," 00:26:48,231"
But I saw you on TV.You were in New York!,"00:26:48,315 "," 00:26:51,150"
"Jane, I fought to protect youfrom the dangers of my world","00:26:52,069 "," 00:26:54,779"
but I was wrong.,"00:26:54,863 "," 00:26:56,656"
I was a fool.,"00:26:56,824 "," 00:26:58,700"
But I believethat fate brought us together.,"00:26:59,576 "," 00:27:03,037"
"Jane, I don't know where you were,or what happened, but I do know this...","00:27:05,124 "," 00:27:08,167"
What?,"00:27:09,003 "," 00:27:10,003"
I know...,"00:27:11,255 "," 00:27:12,297"
You do?,"00:27:13,507 "," 00:27:14,632"
Do what?,"00:27:16,135 "," 00:27:17,218"
What?,"00:27:17,845 "," 00:27:18,970"
Hey!,"00:27:19,555 "," 00:27:20,555"
Is this you?,"00:27:22,308 "," 00:27:23,766"
"Uh, we're kind ofin the middle of something here.","00:27:28,147 "," 00:27:29,564"
"Um, I'm pretty surewe are getting arrested.","00:27:29,982 "," 00:27:32,650"
